Source URL,Target URL,Status Code,Include subpaths,Subpath matching,Preserve query string,Preserve path suffix
https://prokr.com/faq/carpentry/muhayil,https://prokr.co/corporate/acquisition,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/pricing/moving/al-ahsa,https://prokr.co/al-ahsa/furniture-moving,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/saudi/dhahran,https://prokr.co/dhahran,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/pricing/moving/umluj,https://prokr.co/corporate/acquisition,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/faq/cleaning/taif,https://prokr.co/taif/cleaning,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/deals/painting-gypsum/khobar,https://prokr.co/al-khobar,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/faq/carpentry/rabigh,https://prokr.co/rabigh,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/deals/pest-control/riyadh,https://prokr.co/riyadh/pest-control,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/pricing/electricity/dhahran,https://prokr.co/dhahran,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/deals/ac/taif,https://prokr.co/taif/air-conditioner-cleaning,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/emergency/ac/khobar,https://prokr.co/al-khobar/air-conditioner-cleaning,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/emergency/leaks-plumbing/riyadh,https://prokr.co/riyadh/water-leak-detection,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/deals/moving/khamis-mushait,https://prokr.co/khamis-mushait/furniture-moving,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/pricing/ac/khobar,https://prokr.co/al-khobar/air-conditioner-cleaning,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/faq/ac/yanbu,https://prokr.co/yanbu/air-conditioner-cleaning,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/faq/moving/hafr-al-batin,https://prokr.co/hafr-albatin/furniture-moving,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/faq/leaks-plumbing/al-ahsa,https://prokr.co/al-ahsa/water-leak-detection,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/emergency/moving/al-lith,https://prokr.co/corporate/acquisition,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/saudi/jeddah/flooring/parquet-vinyl,https://prokr.co/jeddah,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/emergency/moving/duba,https://prokr.co/corporate/acquisition,301,FALSE,FALSE,FALSE,FALSE
